experiment_id,variant_id,dataset,n_samples,ESR,avg_latency_ms,p95_latency_ms,avg_tokens,p95_tokens,error_top1_code,error_top1_count,error_top2_code,error_top2_count,error_top3_code,error_top3_count,guard_block_rate,false_positive_rate,true_positive_rate,write_success_rate,dangerous_write_block_rate,raw_sql_coverage,repaired_sql_coverage,result_path
bird100__E1_gpt4omini,E1_gpt4omini,bird100,100,0.73,3344.2482963204384,6543.810999952257,617.23,1052,ERROR,15,UNSUPPORTED,10,EXCEPTION,2,,,,,,0.88,0.78,results/bird100__E1_gpt4omini.jsonl
bird100__E2a_gpt4omini,E2a_gpt4omini,bird100,50,0.86,3514.540293253958,4614.371165633202,576.54,922,UNSUPPORTED,4,ERROR,3,,,,,,,,0.92,0.82,results/bird100__E2a_gpt4omini.jsonl
bird100__E2b_gpt4omini,E2b_gpt4omini,bird100,50,0.82,3290.2474675886333,5776.737124659121,564.24,915,UNSUPPORTED,5,ERROR,3,EXCEPTION,1,,,,,,0.88,0.8,results/bird100__E2b_gpt4omini.jsonl
data__E6a_gpt4omini,E6a_gpt4omini,data,5,0.6,1480.802158638835,1734.0997504070401,271.4,317,UNSUPPORTED,2,,,,,,,,,,0.6,0.6,results/data__E6a_gpt4omini.jsonl
data__E6b_gpt4omini,E6b_gpt4omini,data,2,1.0,2397.9864586144686,1610.3705000132322,306.5,298,,,,,,,,,,,,1.0,1.0,results/data__E6b_gpt4omini.jsonl
llmsql_train__E1_gpt4omini,E1_gpt4omini,llmsql_train,100,0.66,3990.151702091098,6528.327125124633,670.5,1035,ERROR,23,UNSUPPORTED,7,EXCEPTION,4,,,,,,0.89,0.89,results/llmsql_train__E1_gpt4omini.jsonl
llmsql_train__E2a_gpt4omini,E2a_gpt4omini,llmsql_train,100,0.65,3982.6667237188667,5958.626915700734,674.11,1021,ERROR,24,UNSUPPORTED,7,EXCEPTION,4,,,,,,0.89,0.89,results/llmsql_train__E2a_gpt4omini.jsonl
llmsql_train__E2b_gpt4omini,E2b_gpt4omini,llmsql_train,100,0.68,4060.379069186747,6568.987458012998,690.01,1083,ERROR,22,UNSUPPORTED,6,EXCEPTION,4,,,,,,0.9,0.9,results/llmsql_train__E2b_gpt4omini.jsonl
llmsql_train__E2c_gpt4omini,E2c_gpt4omini,llmsql_train,100,0.68,4092.642080867663,6919.853207655251,692.16,1087,ERROR,22,UNSUPPORTED,6,EXCEPTION,4,,,,,,0.9,0.9,results/llmsql_train__E2c_gpt4omini.jsonl
llmsql_train__E5a_gpt4omini,E5a_gpt4omini,llmsql_train,100,0.65,3982.6667237188667,5958.626915700734,674.11,1021,ERROR,24,UNSUPPORTED,7,EXCEPTION,4,,,,,,0.89,0.89,results/llmsql_train__E5a_gpt4omini.jsonl
llmsql_train__E5b_gpt4omini,E5b_gpt4omini,llmsql_train,100,0.78,4546.769485054538,7426.86349991709,5447.67,7895,ERROR,14,UNSUPPORTED,8,,,,,,,,0.92,0.92,results/llmsql_train__E5b_gpt4omini.jsonl
security_eval__E6a_gpt4omini,E6a_gpt4omini,security_eval,23,0.43478260869565216,2008.9868206287856,3286.2590411677957,313.0869565217391,558,UNSUPPORTED,13,,,,,0.000,0.111,0.857,,,0.34782608695652173,0.34782608695652173,results/security_eval__E6a_gpt4omini.jsonl
security_eval__E6b_gpt4omini,E6b_gpt4omini,security_eval,28,0.5714285714285714,2087.030892992126,3545.760165899992,305.9642857142857,557,UNSUPPORTED,12,,,,,0.000,0.091,0.647,,,0.39285714285714285,0.39285714285714285,results/security_eval__E6b_gpt4omini.jsonl
train__E4a_gpt4omini,E4a_gpt4omini,train,20,0.4,3714.077953947708,5609.15937460959,436.1,615,ERROR,8,EXCEPTION,3,UNSUPPORTED,1,,,,,,0.4,0.4,results/train__E4a_gpt4omini.jsonl
train__E4b_gpt4omini,E4b_gpt4omini,train,20,0.7,4124.485260387883,5551.0644586756825,671.1,1078,ERROR,4,EXCEPTION,2,,,,,,,,0.9,0.9,results/train__E4b_gpt4omini.jsonl
train__E4c_gpt4omini,E4c_gpt4omini,train,20,0.05,5479.403643822297,8533.37458241731,713.6,919,UNSUPPORTED,16,ERROR,2,EXCEPTION,1,,,,,,0.05,0.05,results/train__E4c_gpt4omini.jsonl
train__E4d_gpt4omini,E4d_gpt4omini,train,20,0.1,6144.545400049537,10357.489417307079,801.3,1264,UNSUPPORTED,16,EXCEPTION,1,ERROR,1,,,,,,0.15,0.15,results/train__E4d_gpt4omini.jsonl
train__E5a_gpt4omini,E5a_gpt4omini,train,1,0.0,6371.759708039463,6371.759708039463,919,919,ERROR,1,,,,,,,,,,1.0,1.0,results/train__E5a_gpt4omini.jsonl
